,date,open,high,low,close,volume,tic,macd,boll_ub,boll_lb,rsi_30,cci_30,dx_30,close_30_sma,close_60_sma,turbulence,log_volume,change,daily_variance
0,2021-01-15 14:00:00,0.7736,0.77385,0.77267,0.77317,5272,AUDUSD,0.0,0.7741939191898579,0.7710260808101421,0.0,-66.66666666666667,100.0,0.77317,0.77317,0.0,8.312908743988583,-0.0005561519458850323,0.001526184409638333
1,2021-01-15 14:00:00,1.21232,1.21252,1.21151,1.21217,6318,EURUSD,-2.5128205128233105e-05,0.7741939191898579,0.7710260808101421,0.0,-66.66666666666667,100.0,0.77261,0.77261,0.0,8.943570123199477,-0.00012374501926305263,0.0008332164630373259
2,2021-01-15 14:00:00,1.36388,1.36419,1.36127,1.36231,7943,GBPUSD,-6.892014974546612e-05,0.7743370201749709,0.7697163131583624,0.0,-100.00000000000001,100.0,0.7720266666666666,0.7720266666666666,0.0,9.289228104923119,-0.0011524542872034056,0.002143418164734924
3,2021-01-15 14:00:00,0.71758,0.71791,0.71677,0.71734,4014,NZDUSD,-0.0001091723444107684,0.7741738381356614,0.7689911618643387,0.0,-108.74737578726129,100.0,0.7715825000000001,0.7715825000000001,0.0,7.965338176624823,-0.00033456938132547743,0.0015892045612959404
4,2021-01-15 14:00:00,1.26993,1.27148,1.26978,1.27116,4809,USDCAD,-5.234521352492916e-05,0.7740048644211754,0.7693951355788247,41.438723047843794,-18.797323472438134,47.20897587450213,0.7717,0.7717,0.0,8.71817431069193,0.0009676201264986817,0.00133736115044529
5,2021-01-15 14:00:00,0.88756,0.88836,0.88753,0.88827,3443,USDCHF,-2.147654374928809e-05,0.773845218121915,0.7696781152114186,40.53373057194586,27.764326069415322,36.64573904398369,0.7717616666666668,0.7717616666666668,0.0,8.025618935187545,0.0007993065171625614,0.0009344005764013165
6,2021-01-15 15:00:00,0.77316,0.77379,0.77203,0.77205,5239,AUDUSD,-3.619253666264921e-05,0.7736294794263266,0.7697619491451019,34.52731480434032,-17.778517162978765,41.15915463787374,0.7716957142857143,0.7716957142857143,0.0,8.305179955192957,-0.001437730716922407,0.002279645100705892
7,2021-01-15 15:00:00,1.21217,1.21329,1.21138,1.2116,6641,EURUSD,-6.83068418994015e-05,0.773480630788392,0.769691869211608,31.51569925292499,-44.276185325411234,43.62762201396259,0.77158625,0.77158625,0.0,8.992959633711658,-0.00047045229448659575,0.0015764278639815766
8,2021-01-15 15:00:00,1.36231,1.36347,1.36053,1.36056,7842,GBPUSD,-9.198675866839423e-05,0.7733492575572568,0.7696418535538544,31.22223665251741,-62.61216350948062,46.4468681033036,0.7714955555555556,0.7714955555555556,0.0,9.275145562554298,-0.0012862350796730157,0.002160874933850725
9,2021-01-15 15:00:00,0.71733,0.71791,0.7163,0.71632,5437,NZDUSD,-0.0001373217729143672,0.7732979252442865,0.7694320747557136,28.08412782073465,-90.07320121405932,50.73854006030318,0.7713650000000001,0.7713650000000001,0.0,8.26735443265644,-0.0014099843645299119,0.00224759883850793
10,2021-01-15 15:00:00,1.27117,1.27247,1.27089,1.27237,4088,USDCAD,-0.0001521730771026908,0.7731935921429325,0.7693773169479765,31.75437507859722,-73.75135722040638,50.73854006030316,0.7712854545454545,0.7712854545454545,0.0,8.556692435007085,0.0009431218906450874,0.0012417771560158718
11,2021-01-15 15:00:00,0.88827,0.88904,0.88703,0.88813,3464,USDCHF,-0.0002801912093306491,0.7735365921209085,0.768540074545758,22.97903298906226,-152.79773568473416,64.32556908213438,0.7710383333333333,0.7710383333333333,0.0,8.031542119373848,-0.00015763458052315426,0.0022631821917963217
12,2021-01-15 16:00:00,0.77206,0.77252,0.77051,0.77086,6797,AUDUSD,-0.000309843967082446,0.773469837694253,0.7683563161519007,32.65035448464755,-142.83331966427784,66.48541919557206,0.7709130769230769,0.7709130769230769,0.0,8.563988113079187,-0.0015567029032508871,0.002607477362945225
13,2021-01-15 16:00:00,1.2116,1.21178,1.20936,1.20973,9797,EURUSD,-0.00030019626280475276,0.7733565911009201,0.7683234088990798,36.294468790530146,-84.50004009301769,48.898728934476196,0.77084,0.77084,0.0,9.38022868955788,-0.0015457994759161453,0.002000446380597397
14,2021-01-15 16:00:00,1.36056,1.36155,1.35938,1.35997,8012,GBPUSD,-0.00028137581386311616,0.7732470733296618,0.7683235933370048,37.24578511485323,-65.23886494253401,44.86519868619779,0.7707853333333333,0.7707853333333333,0.0,9.29615833746684,-0.00043383309925960905,0.0015956234328698467
15,2021-01-15 16:00:00,0.71632,0.71656,0.71456,0.7147,6162,NZDUSD,-0.0003005546841633455,0.7731750644662564,0.7682236855337435,34.72843965733318,-85.15095502156724,47.160339324304054,0.770699375,0.770699375,0.0,8.39026427440041,-0.0022666853225128793,0.0027983769413740056
16,2021-01-15 16:00:00,1.27237,1.27375,1.27167,1.27322,6062,USDCAD,-0.0003690040200345912,0.7731965495649121,0.7679410974939113,31.383116169885696,-119.13380038055446,52.13062889857286,0.7705688235294117,0.7705688235294117,0.0,8.951344182371319,0.0006675986867941263,0.001633653257096071
17,2021-01-15 16:00:00,0.88811,0.88954,0.88799,0.88935,4407,USDCHF,-0.00038537024080498306,0.7731375726554781,0.7678235384556331,34.87233852031454,-111.32718636491255,54.52573337310766,0.7704805555555556,0.7704805555555556,0.0,8.273685044681336,0.0013942767189520648,0.0017428458986901124
18,2021-01-15 17:00:00,0.77085,0.77099,0.76814,0.77025,8447,AUDUSD,-0.0004028828185884681,0.7730846089629844,0.7677027594580683,34.330558438929415,-100.63084137453407,54.52573337310766,0.7703936842105263,0.7703936842105263,0.0,8.780526486222136,-0.0007789678675755208,0.0037000973709833277
19,2021-01-15 17:00:00,1.20972,1.2102,1.20817,1.20933,11486,EURUSD,-0.000467577442547662,0.7731070750632985,0.7674379249367016,31.43406250239923,-109.62586952434152,58.61288030686036,0.7702725,0.7702725,0.0,9.538950668665642,-0.0003224926198803391,0.0016786154316852937
20,2021-01-15 17:00:00,1.35995,1.36007,1.35722,1.35844,9757,GBPUSD,-0.0005807638067265586,0.7728257287499384,0.7670952712500617,28.433013469282372,-146.0168156175912,63.147428714280494,0.7701133333333333,0.7701133333333333,0.0,9.492077237656897,-0.0011115691528517271,0.0020979947586936463
21,2021-01-15 17:00:00,0.7147,0.71483,0.7118,0.7137,8789,NZDUSD,-0.0006929997341658112,0.7727698723883609,0.7665921276116392,27.21817280287118,-171.6851655376894,68.2864040950591,0.7699472727272727,0.7699472727272727,0.0,8.74396364555953,-0.00140114894213255,0.004245481294661591
22,2021-01-15 17:00:00,1.27324,1.27644,1.27302,1.27572,8143,USDCAD,-0.0007548438912580169,0.7727788721822447,0.7661681278177553,28.89000425294134,-145.5874442393856,68.03839957231767,0.7698065217391303,0.7698065217391303,0.0,9.248424666573507,0.0019440002508387716,0.0026808390555921194
23,2021-01-15 17:00:00,0.88934,0.89056,0.88906,0.88995,5323,USDCHF,-0.0007527191508508446,0.7727459999634448,0.7659070000365552,32.726611461412816,-117.44942999587225,55.54180775458426,0.7697025000000001,0.7697025000000001,0.0,8.463202335563382,0.0006854317658295403,0.0016854879487612302
