,date,actions,transactions
0,2021-01-24 22:00:00,"[  69.63780834 -173.99498963  121.16292215  190.43866098  136.81996738
  -91.29         63.575        71.785      -127.17         88.56
  -98.17         68.365       107.54        -70.94436524  157.68
  -76.06677737  107.795       -88.96        121.72       -177.235     ]",[2. 0. 2. 2. 2. 0. 2. 2. 0. 2. 0. 2. 2. 0. 2. 0. 2. 0. 2. 0.]
1,2021-01-24 23:00:00,"[  69.57830296 -174.095       121.14948008  190.3246634   136.79488585
  -91.29         63.535        71.73       -127.27         88.55998944
  -98.11         68.27        107.48        -73.75443123  157.86
  -56.50862799  107.765       -88.955       121.675      -177.44      ]",[2. 0. 2. 2. 2. 0. 2. 2. 0. 2. 0. 2. 2. 0. 2. 0. 2. 0. 2. 0.]
2,2021-01-25 00:00:00,"[  69.58477887 -174.18        121.19473994  190.23144123  136.85990211
  -91.37         63.58         71.79       -127.27         88.56497888
  -98.16         68.315       107.44        -74.65837172  157.755
  -55.27806512  107.77        -88.905       121.675      -177.425     ]",[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
3,2021-01-25 01:00:00,"[  69.62965138 -174.025       121.15942226  189.94635364  136.84498369
  -91.46         63.675        71.92       -127.16         88.53495778
  -98.19         68.365       107.35        -76.76868951  157.58
  -26.42902859  107.73        -88.92        121.67998549 -177.23      ]",[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
4,2021-01-25 02:00:00,"[  69.6320614  -174.075       121.21716769  190.13660298  136.83496738
  -91.485        63.695        71.905      -127.215        88.58
  -98.17         68.365       107.315       -62.49168716  157.65
  -99.15516986  107.77        -88.91        121.645      -177.335     ]",[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
5,2021-01-25 03:00:00,"[  69.68991692 -174.065       121.29266504  190.10591215  136.985
  -91.53         63.795        72.04       -127.065        88.55
  -98.245        68.455       107.315       -75.44280016  157.405
  -66.48780364  107.77        -88.85        121.705      -177.205     ]",[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
6,2021-01-25 04:00:00,"[  69.66477577 -174.08        121.2758479   190.05674587  137.00998367
  -91.555        63.775        72.065      -127.06         88.515
  -98.245        68.45        107.305       -72.9357831   157.435
  -90.01812705  107.765       -88.87        121.77       -177.155     ]",[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
7,2021-01-25 05:00:00,"[  69.70976732 -174.04        121.30084601  190.1267189   137.03998366
  -91.5          63.795        72.05       -127.           88.53
  -98.265        68.5         107.39        -72.97856541  157.375
  -89.98203285  107.785       -88.86        121.765      -177.11      ]",[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
8,2021-01-25 06:00:00,"[  69.7147673  -174.05        121.36582664  190.09673046  137.155
  -91.53         63.82         72.125      -126.93         88.505
  -98.27         68.525       107.37        -73.03148663  157.295
  -89.97668094  107.805       -88.81        121.805      -177.11      ]",[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
9,2021-01-25 07:00:00,"[  69.73976722 -174.14        121.42583658  190.16670349  137.1499673
  -91.54         63.835        72.095      -126.97         88.54497889
  -98.23         68.51        107.32        -72.98068214  157.38
  -89.96635835  107.83        -88.78        121.775      -177.26      ]",[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
