,0
Annual return,0.0008996939584782204
Cumulative returns,0.0027695000000014236
Annual volatility,0.004396284296313944
Sharpe ratio,0.20701661152402595
Calmar ratio,0.12056520170197085
Stability,0.10718000245035095
Max drawdown,-0.007462302105231027
Omega ratio,1.0352383837677472
Sortino ratio,0.30065786425216484
Skew,
Kurtosis,
Tail ratio,0.9929906140577602
Daily value at risk,-0.0005502682357583503
