,cash,asset_value,total_assets,reward,date
0,6600000.0,0.0,6600000.0,0.0,2021-01-24 22:00:00
1,3989450.0,2610230.0,6599680.0,0.0,2021-01-24 23:00:00
2,1379220.0,5220700.0,6599920.0,-2.424242424242662e-05,2021-01-25 00:00:00
3,1379220.0,5219000.0,6598220.0,-4.040404040413688e-06,2021-01-25 01:00:00
4,1379220.0,5219600.0,6598820.0,-6.742424242422995e-05,2021-01-25 02:00:00
5,1379220.0,5220700.0,6599920.0,-3.5757575757577875e-05,2021-01-25 03:00:00
6,1379220.0,5220680.0,6599900.0,-2.020202020206844e-06,2021-01-25 04:00:00
7,1379220.0,5221800.0,6601020.0,-2.164502164503368e-06,2021-01-25 05:00:00
8,1379220.0,5222660.0,6601880.0,1.9318181818189784e-05,2021-01-25 06:00:00
9,1379220.0,5223420.0,6602640.0,3.1649831649839375e-05,2021-01-25 07:00:00
10,1379220.0,5223180.0,6602400.0,3.999999999999559e-05,2021-01-25 08:00:00
11,1379220.0,5221640.0,6600860.0,3.305785123966761e-05,2021-01-25 09:00:00
12,1379220.0,5218260.0,6597480.0,1.0858585858586345e-05,2021-01-25 10:00:00
13,1379220.0,5220240.0,6599460.0,-2.9370629370626912e-05,2021-01-25 11:00:00
14,1379220.0,5219320.0,6598540.0,-5.844155844155921e-06,2021-01-25 12:00:00
15,1379220.0,5218420.0,6597640.0,-1.4747474747471105e-05,2021-01-25 13:00:00
16,1379220.0,5218960.0,6598180.0,-2.2348484848486172e-05,2021-01-25 14:00:00
17,1379220.0,5216920.0,6596140.0,-1.6221033868093872e-05,2021-01-25 15:00:00
18,1379220.0,5219180.0,6598400.0,-3.249158249158452e-05,2021-01-25 16:00:00
19,1379220.0,5218980.0,6598200.0,-1.2759170653908747e-05,2021-01-25 17:00:00
20,1379220.0,5219560.0,6598780.0,-1.3636363636365668e-05,2021-01-25 18:00:00
21,1379220.0,5219660.0,6598880.0,-8.802308802307352e-06,2021-01-25 19:00:00
22,1379220.0,5218540.0,6597760.0,-7.713498622587764e-06,2021-01-25 20:00:00
23,1379220.0,5218880.0,6598100.0,-1.4756258234520551e-05,2021-01-25 21:00:00
24,1379220.0,5220040.0,6599260.0,-1.1994949494951538e-05,2021-01-25 22:00:00
25,1379220.0,5219980.0,6599200.0,-4.484848484849202e-06,2021-01-25 23:00:00
26,1379220.0,5220420.0,6599640.0,-4.662004662002984e-06,2021-01-26 00:00:00
27,1379220.0,5219380.0,6598600.0,-2.0202020202006764e-06,2021-01-26 01:00:00
28,1379220.0,5219820.0,6599040.0,-7.575757575757823e-06,2021-01-26 02:00:00
29,1379220.0,5220120.0,6599340.0,-5.0156739811917145e-06,2021-01-26 03:00:00
30,1379220.0,5218860.0,6598080.0,-3.333333333332966e-06,2021-01-26 04:00:00
31,1379220.0,5217200.0,6596420.0,-9.38416422287482e-06,2021-01-26 05:00:00
32,1379220.0,5217840.0,6597060.0,-1.6950757575757286e-05,2021-01-26 06:00:00
33,1379220.0,5216100.0,6595320.0,-1.3498622589531111e-05,2021-01-26 07:00:00
34,1379220.0,5211940.0,6591160.0,-2.0855614973261218e-05,2021-01-26 08:00:00
35,1379220.0,5215720.0,6594940.0,-3.8268398268399244e-05,2021-01-26 09:00:00
36,1379220.0,5218060.0,6597280.0,-2.1296296296297035e-05,2021-01-26 10:00:00
37,1379220.0,5217420.0,6596640.0,-1.113841113841073e-05,2021-01-26 11:00:00
38,1379220.0,5219140.0,6598360.0,-1.3397129186602724e-05,2021-01-26 12:00:00
39,1379220.0,5221280.0,6600500.0,-6.371406371405929e-06,2021-01-26 13:00:00
40,1379220.0,5222640.0,6601860.0,1.8939393939376715e-06,2021-01-26 14:00:00
41,1379220.0,5224000.0,6603220.0,6.873614190689558e-06,2021-01-26 15:00:00
42,1379220.0,5227280.0,6606500.0,1.161616161616226e-05,2021-01-26 16:00:00
43,1379220.0,5225280.0,6604500.0,2.29034531360111e-05,2021-01-26 17:00:00
44,1379220.0,5225060.0,6604280.0,1.549586776859609e-05,2021-01-26 18:00:00
45,1379220.0,5224780.0,6604000.0,1.4410774410775516e-05,2021-01-26 19:00:00
46,1379220.0,5224160.0,6603380.0,1.3175230566532585e-05,2021-01-26 20:00:00
47,1379220.0,5224540.0,6603760.0,1.0896196002580787e-05,2021-01-26 21:00:00
48,1379220.0,5224640.0,6603860.0,1.1868686868685141e-05,2021-01-26 22:00:00
49,1379220.0,5225320.0,6604540.0,1.1935683364255538e-05,2021-01-26 23:00:00
50,1379220.0,5226100.0,6605320.0,1.3757575757575856e-05,2021-01-27 00:00:00
51,1379220.0,5225840.0,6605060.0,1.5805109922758804e-05,2021-01-27 01:00:00
52,1379220.0,5224600.0,6603820.0,1.4743589743588119e-05,2021-01-27 02:00:00
53,1379220.0,5224320.0,6603540.0,1.0920526014867101e-05,2021-01-27 03:00:00
54,1379220.0,5223840.0,6603060.0,9.932659932658464e-06,2021-01-27 04:00:00
55,1379220.0,5224100.0,6603320.0,8.42975206611514e-06,2021-01-27 05:00:00
56,1379220.0,5225020.0,6604240.0,8.982683982682632e-06,2021-01-27 06:00:00
57,1379220.0,5225860.0,6605080.0,1.1270600744286546e-05,2021-01-27 07:00:00
58,1379220.0,5226260.0,6605480.0,1.3270637408566633e-05,2021-01-27 08:00:00
59,1379220.0,5224980.0,6604200.0,1.4072932716999307e-05,2021-01-27 09:00:00
60,1379220.0,5224040.0,6603260.0,1.0606060606059101e-05,2021-01-27 10:00:00
61,1379220.0,5223280.0,6602500.0,8.097367113760326e-06,2021-01-27 11:00:00
62,1379220.0,5220880.0,6600100.0,6.109481915935135e-06,2021-01-27 12:00:00
63,1379220.0,5220240.0,6599460.0,2.4050024049861197e-07,2021-01-27 13:00:00
64,1379220.0,5220480.0,6599700.0,-1.2784090909091078e-06,2021-01-27 14:00:00
65,1379220.0,5218740.0,6597960.0,-6.993006993010881e-07,2021-01-27 15:00:00
66,1379220.0,5220660.0,6599880.0,-4.68319559228675e-06,2021-01-27 16:00:00
67,1379220.0,5218920.0,6598140.0,-2.7137042062397144e-07,2021-01-27 17:00:00
68,1379220.0,5221520.0,6600740.0,-4.14438502673766e-06,2021-01-27 18:00:00
69,1379220.0,5222380.0,6601600.0,1.6249451032046236e-06,2021-01-27 19:00:00
70,1379220.0,5219920.0,6599140.0,3.4632034632022165e-06,2021-01-27 20:00:00
71,1379220.0,5218960.0,6598180.0,-1.8352539479300864e-06,2021-01-27 21:00:00
72,1379220.0,5221060.0,6600280.0,-3.829966329966609e-06,2021-01-27 22:00:00
73,1379220.0,5220520.0,6599740.0,5.811540058106465e-07,2021-01-27 23:00:00
74,1379220.0,5219520.0,6598740.0,-5.323505323499282e-07,2021-01-28 00:00:00
75,1379220.0,5218460.0,6597680.0,-2.5454545454550725e-06,2021-01-28 01:00:00
76,1379220.0,5220400.0,6599620.0,-4.6251993620408255e-06,2021-01-28 02:00:00
77,1379220.0,5218500.0,6597720.0,-7.477371113741791e-07,2021-01-28 03:00:00
78,1379220.0,5218500.0,6597720.0,-4.428904428904329e-06,2021-01-28 04:00:00
79,1379220.0,5218880.0,6598100.0,-4.3728423475257934e-06,2021-01-28 05:00:00
80,1379220.0,5219780.0,6599000.0,-3.5984848484854613e-06,2021-01-28 06:00:00
81,1379220.0,5219740.0,6598960.0,-1.870557426112651e-06,2021-01-28 07:00:00
82,1379220.0,5218060.0,6597280.0,-1.9216555801926923e-06,2021-01-28 08:00:00
83,1379220.0,5217560.0,6596780.0,-4.965315808689121e-06,2021-01-28 09:00:00
84,1379220.0,5219880.0,6599100.0,-5.80808080808113e-06,2021-01-28 10:00:00
85,1379220.0,5221100.0,6600320.0,-1.604278074865896e-06,2021-01-28 11:00:00
86,1379220.0,5220080.0,6599300.0,5.637773079621187e-07,2021-01-28 12:00:00
87,1379220.0,5222160.0,6601380.0,-1.2190874259833793e-06,2021-01-28 13:00:00
88,1379220.0,5223960.0,6603180.0,2.37603305785029e-06,2021-01-28 14:00:00
89,1379220.0,5225420.0,6604640.0,5.4136874361601105e-06,2021-01-28 15:00:00
90,1379220.0,5225400.0,6604620.0,7.811447811446726e-06,2021-01-28 16:00:00
91,1379220.0,5225820.0,6605040.0,7.692307692306845e-06,2021-01-28 17:00:00
92,1379220.0,5224500.0,6603720.0,8.300395256916302e-06,2021-01-28 18:00:00
93,1379220.0,5225160.0,6604380.0,6.06060606060561e-06,2021-01-28 19:00:00
94,1379220.0,5225660.0,6604880.0,7.059961315279902e-06,2021-01-28 20:00:00
95,1379220.0,5225140.0,6604360.0,7.783094098884627e-06,2021-01-28 21:00:00
96,1379220.0,5224520.0,6603740.0,6.881313131312794e-06,2021-01-28 22:00:00
97,1379220.0,5226380.0,6605600.0,5.8419243986247864e-06,2021-01-28 23:00:00
98,1379220.0,5224420.0,6603640.0,8.65800865800894e-06,2021-01-29 00:00:00
99,1379220.0,5223140.0,6602360.0,5.5708601163150675e-06,2021-01-29 01:00:00
100,1379220.0,5223560.0,6602780.0,3.5757575757577875e-06,2021-01-29 02:00:00
101,1379220.0,5223560.0,6602780.0,4.1704170417045106e-06,2021-01-29 03:00:00
102,1379220.0,5222500.0,6601720.0,4.1295306001191725e-06,2021-01-29 04:00:00
103,1379220.0,5222800.0,6602020.0,2.530155928214294e-06,2021-01-29 05:00:00
104,1379220.0,5221760.0,6600980.0,2.9428904428897307e-06,2021-01-29 06:00:00
105,1379220.0,5222160.0,6601380.0,1.4141414141424119e-06,2021-01-29 07:00:00
106,1379220.0,5221180.0,6600400.0,1.972555746139863e-06,2021-01-29 08:00:00
107,1379220.0,5219920.0,6599140.0,5.664117813653673e-07,2021-01-29 09:00:00
108,1379220.0,5218200.0,6597420.0,-1.2065095398429272e-06,2021-01-29 10:00:00
109,1379220.0,5221480.0,6600700.0,-3.5863219349459486e-06,2021-01-29 11:00:00
110,1379220.0,5223800.0,6603020.0,9.641873278232183e-07,2021-01-29 12:00:00
111,1379220.0,5226400.0,6605620.0,4.122304122304214e-06,2021-01-29 13:00:00
112,1379220.0,5226500.0,6605720.0,7.602813852813917e-06,2021-01-29 14:00:00
113,1379220.0,5225620.0,6604840.0,7.669616519173196e-06,2021-01-29 15:00:00
114,1379220.0,5229260.0,6608480.0,6.432748538010988e-06,2021-01-29 16:00:00
115,1379220.0,5229440.0,6608660.0,1.1172595520421254e-05,2021-01-29 17:00:00
116,1379220.0,5227440.0,6606660.0,1.1311389759665595e-05,2021-01-29 18:00:00
117,1379220.0,5227680.0,6606900.0,8.624708624709054e-06,2021-01-29 19:00:00
118,1379220.0,5227820.0,6607040.0,8.859784283513319e-06,2021-01-29 20:00:00
119,1379220.0,5227640.0,6606860.0,8.963585434174548e-06,2021-01-29 21:00:00
120,1379220.0,5227640.0,6606860.0,8.661616161616721e-06,2021-01-31 20:00:00
