,date,actions,transactions
0,2021-01-24 22:00:00,"[-25.02067568 -86.9972148   60.56492924  95.3125     -68.41
 -42.84026146  31.78639351  35.8925      63.53301689 -44.28
  47.28583863  31.71455405 -45.49909336 -38.59745859 -78.84
 -77.395      -53.8975     -44.47440063  60.86       -86.37880262]","[0.   0.   1.   1.   0.   0.   1.   1.   1.   0.   0.96 0.93 0.   0.
 0.   0.   0.   0.   1.   0.  ]"
1,2021-01-24 23:00:00,"[ 11.81957887 -87.0475      60.57468227  95.3525     -68.3975
 -45.27181333  31.75472651  35.865       63.61802279 -44.28
  12.54926941  32.73067932 -39.99617435 -38.5475     -78.93
 -77.435      -53.8825     -44.47746289  60.8375     -87.60610425]","[0.34 0.   1.   1.   0.   0.   1.   1.   1.   0.   0.26 0.96 0.   0.
 0.   0.   0.   0.   1.   0.  ]"
2,2021-01-25 00:00:00,"[ 21.28911724 -87.09        60.59742776  95.3175     -68.43
 -45.33957171  31.77879018  35.895       63.62105715 -44.2825
 -22.32848549  31.58613321 -39.21630546 -38.5675     -78.8775
 -77.4275     -53.885      -44.4524735   60.8375     -87.87509587]","[0.61 0.   1.   1.   0.   0.   1.   1.   1.   0.   0.   0.92 0.   0.
 0.   0.   0.   0.   1.   0.  ]"
3,2021-01-25 01:00:00,"[-34.78225228 -86.83386658  60.52224085  95.14       -68.4225
 -38.9901793   31.83749241  35.96        63.57945429 -44.2675
  49.0173187   17.38904161 -52.97905757 -38.5832501  -78.79
 -77.3675     -53.865      -44.45911489  60.84       -88.61361087]","[0.   0.   1.   1.   0.   0.   1.   1.   1.   0.   1.   0.51 0.   0.
 0.   0.   0.   0.   1.   0.  ]"
4,2021-01-25 02:00:00,"[-31.80615188 -87.02247602  60.59625753  95.1425     -68.4175
 -32.34113702  31.84748481  35.9525      63.55989641 -44.29
  41.27340875   4.50997817 -48.03453697 -38.58136625 -78.825
 -77.3875     -53.885      -44.36692846  60.8225     -88.47792724]",[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
5,2021-01-25 03:00:00,"[-34.83709523 -85.75932694  58.90141253  95.08       -68.4925
 -31.24783712  31.8974924   36.02        63.53033393 -44.275
  49.12082522  28.27761832 -53.27498775 -38.55700378 -78.7025
 -77.325      -53.885      -44.40274674  60.8525     -88.59521205]",[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
6,2021-01-25 04:00:00,"[-34.76835646 -86.90427704  59.99571524  95.065      -68.505
 -37.31790672  31.88746959  36.0325      63.52350205 -44.2575
  49.11217027  30.83259689 -52.87207196 -38.64860638 -78.7175
 -77.3475     -53.8825     -44.4138912   60.885      -88.51478327]",[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
7,2021-01-25 05:00:00,"[-34.7908171  -86.88434453  60.00814699  95.1        -68.52
 -37.29639673  31.89746958  36.025       63.49350512 -44.265
  49.12216816  30.85575172 -52.91397936 -38.67110521 -78.6875
 -77.3175     -53.8925     -44.40890152  60.8825     -88.49228864]",[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
8,2021-01-25 06:00:00,"[-34.79331042 -86.88935749  60.0403221   95.085      -68.5775
 -37.30905878  31.90996957  36.0625      63.4585087  -44.2525
  49.12466764  30.86757251 -52.90417282 -38.69859995 -78.6475
 -77.315      -53.9025     -44.38391339  60.9025     -88.49228864]",[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
9,2021-01-25 07:00:00,"[-34.80578117 -86.93431849  60.0701397   95.12       -68.575
 -37.31345412  31.91746956  36.0475      63.47850665 -44.2725
  49.1046777   30.86130568 -52.87955242 -38.67111213 -78.69
 -77.3075     -53.915      -44.3689258   60.8875     -88.5672461 ]",[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
10,2021-01-25 08:00:00,"[-34.87083299 -78.93376525  55.40442058  95.1        -68.595
 -24.47630068  31.91749239  36.0675      63.45893333 -44.2525
  49.0945552   30.93583189 -53.51216627 -37.79874866 -78.6925
 -77.275      -53.8975     -44.32761985  60.9        -88.63781353]",[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
11,2021-01-25 09:00:00,"[-34.78989375 -86.77594156  60.26576123  95.02       -68.505
 -34.8882771   31.92749239  36.045       63.49021983 -44.2875
  49.06360999  11.89614078 -51.96080853 -38.64635244 -78.72
 -77.305      -53.9125     -44.41700564  60.865      -88.57806833]",[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
12,2021-01-25 10:00:00,"[-31.17738121 -86.86525635  60.62417984  94.8975     -68.3725
 -27.16591328  31.95998476  36.0275      63.47142363 -44.36
  45.58988876  -9.63555617 -47.78144243 -38.61276742 -78.6425
 -77.2225     -53.8875     -44.19909537  60.7375     -88.15352148]",[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
13,2021-01-25 11:00:00,"[-32.34067794 -86.87466571  60.69891704  94.9325     -68.48
 -31.84240096  31.97499619  36.0625      63.47550578 -44.3225
  37.54876647 -27.39674771 -47.54517595 -38.66395988 -78.5975
 -77.1975     -53.885      -44.35228567  60.785      -88.50670727]",[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
14,2021-01-25 12:00:00,"[-32.31801102 -86.90604675  60.66707984  94.92       -68.455
 -33.62534133  31.95749238  36.0625      63.50009316 -44.32
  38.59160178 -25.91662388 -47.64220041 -38.64732077 -78.64
 -77.2275     -53.875      -44.3791691   60.785      -88.53603476]",[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
