,0
Annual return,0.0019307603055958023
Cumulative returns,0.016048484848486533
Annual volatility,0.004168262787999144
Sharpe ratio,0.46506590530232716
Calmar ratio,0.2521514428480537
Stability,0.5294195473443795
Max drawdown,-0.007657145578021845
Omega ratio,1.0855544360665592
Sortino ratio,0.6728013283735835
Skew,
Kurtosis,
Tail ratio,1.0881023114620163
Daily value at risk,-0.000517459221934472
